lambda,error
0.0,0.9550388876867543
0.04,0.9548578415022416
0.08,0.9546829844549021
0.12,0.9545143146069998
0.16,0.9543518300213986
0.2,0.9541955287615744
0.24,0.9540454088916286
0.28,0.9539014684762513
0.32,0.9537637055807646
0.36,0.9536321182710837
0.4,0.9535067046137433
0.44,0.9533874626758894
0.48,0.953274390525269
0.52,0.9531674862302484
0.56,0.9530667478597914
0.6,0.9529721734834845
0.64,0.9528837611715075
0.68,0.9528015089946692
0.72,0.9527254150243639
0.76,0.9526554773326122
0.8,0.9525916939920321
0.84,0.9525340630758541
0.88,0.9524825826579125
0.92,0.952437250812653
0.96,0.9523980656151266
1.0,0.9523650251409892
1.04,0.9523381274665101
1.08,0.9523173706685537
1.12,0.9523027528245985
1.16,0.9522942720127309
1.2,0.9522919263116356
1.24,0.9522957138006086
1.28,0.9523056325595514
1.32,0.952321680668968
1.36,0.9523438562099625
1.4,0.9523721572642604
1.44,0.9524065819141728
1.48,0.9524471282426222
1.52,0.9524937943331393
1.56,0.9525465782698558
1.6,0.9526054781375037
1.64,0.9526704920214233
1.68,0.9527416180075573
1.72,0.9528188541824468
1.76,0.9529021986332404
1.8,0.9529916494476909
1.84,0.9530872047141472
1.88,0.9531888625215623
1.92,0.9532966209594966
1.96,0.953410478118108
