lambda,coeff_feature_1,coeff_feature_2,coeff_feature_3,coeff_feature_4,coeff_feature_5,coeff_feature_6,coeff_feature_7,coeff_feature_8,coeff_feature_9,coeff_feature_10
0.0,19.284290674718136,-11.591029193092982,-3.879850019917259,4.029418352037095,-8.7026970924578,-10.6463137814999,-0.9770856799511412,-6.950527356181989,-22.34395726879184,-1.6745018774406226
0.04,19.283333188075932,-11.590441987296067,-3.879673238658069,4.029303932148669,-8.702257777179609,-10.645722025319962,-0.9770716653439604,-6.950087912663928,-22.34279448653743,-1.6743410280982105
0.08,19.28237579627167,-11.589854841328524,-3.879496473258548,4.029189515864429,-8.701818507420938,-10.645130334802204,-0.9770576480683464,-6.949648522555428,-22.341631826891994,-1.6741802017661134
0.12,19.281418499291313,-11.58926775518115,-3.8793197237166286,4.029075103184907,-8.70137928317456,-10.644538709935704,-0.9770436281254202,-6.949209185846975,-22.340469289835912,-1.6740193984399383
0.16,19.280461297120823,-11.58868072884476,-3.8791429900302306,4.028960694110639,-8.700940104433235,-10.64394715070954,-0.977029605516297,-6.948769902529056,-22.339306875349592,-1.6738586181152924
0.2,19.279504189746145,-11.588093762310166,-3.8789662721972835,4.028846288642155,-8.700500971189742,-10.643355657112805,-0.9770155802420983,-6.948330672592164,-22.33814458341341,-1.6736978607877844
0.24,19.278547177153264,-11.587506855568192,-3.8787895702157087,4.028731886779987,-8.700061883436856,-10.64276422913458,-0.9770015523039413,-6.94789149602679,-22.336982414007764,-1.6735371264530223
0.28,19.277590259328143,-11.586920008609644,-3.878612884083437,4.028617488524672,-8.699622841167345,-10.642172866763966,-0.9769875217029431,-6.9474523728234345,-22.335820367113087,-1.6733764151066177
0.32,19.276633436256752,-11.58633322142534,-3.878436213798389,4.028503093876734,-8.699183844373996,-10.641581569990047,-0.9769734884402219,-6.947013302972588,-22.334658442709745,-1.6732157267441812
0.36,19.27567670792507,-11.585746494006115,-3.8782595593584963,4.028388702836716,-8.698744893049573,-10.640990338801924,-0.9769594525168941,-6.946574286464756,-22.333496640778183,-1.6730550613613264
0.4,19.27472007431907,-11.585159826342778,-3.8780829207616856,4.028274315405138,-8.698305987186874,-10.64039917318869,-0.9769454139340759,-6.94613532329044,-22.332334961298812,-1.672894418953666
0.44,19.273763535424735,-11.58457321842616,-3.877906298005886,4.028159931582539,-8.697867126778663,-10.639808073139449,-0.9769313726928841,-6.945696413440142,-22.33117340425203,-1.672733799516814
0.48,19.27280709122805,-11.583986670247088,-3.877729691089021,4.028045551369442,-8.697428311817733,-10.6392170386433,-0.9769173287944322,-6.945257556904373,-22.330011969618297,-1.6725732030463882
