tensor([2.3487], dtype=torch.float64)
tensor([0.8890], dtype=torch.float64)
tensor([0.5394], dtype=torch.float64)
tensor([0.4453], dtype=torch.float64)
tensor([0.4119], dtype=torch.float64)
tensor([0.3937], dtype=torch.float64)
tensor([0.3799], dtype=torch.float64)
tensor([0.3677], dtype=torch.float64)
tensor([0.3562], dtype=torch.float64)
tensor([0.3453], dtype=torch.float64)
tensor([0.3347], dtype=torch.float64)
tensor([0.3245], dtype=torch.float64)
tensor([0.3146], dtype=torch.float64)
tensor([0.3050], dtype=torch.float64)
tensor([0.2957], dtype=torch.float64)
tensor([0.2868], dtype=torch.float64)
tensor([0.2781], dtype=torch.float64)
tensor([0.2696], dtype=torch.float64)
tensor([0.2614], dtype=torch.float64)
tensor([0.2535], dtype=torch.float64)
tensor([0.2458], dtype=torch.float64)
tensor([0.2384], dtype=torch.float64)
tensor([0.2312], dtype=torch.float64)
tensor([0.2242], dtype=torch.float64)
tensor([0.2174], dtype=torch.float64)
tensor([0.2108], dtype=torch.float64)
tensor([0.2045], dtype=torch.float64)
tensor([0.1983], dtype=torch.float64)
tensor([0.1923], dtype=torch.float64)
tensor([0.1865], dtype=torch.float64)
tensor([0.1809], dtype=torch.float64)
tensor([0.1754], dtype=torch.float64)
tensor([0.1702], dtype=torch.float64)
tensor([0.1650], dtype=torch.float64)
tensor([0.1601], dtype=torch.float64)
tensor([0.1553], dtype=torch.float64)
tensor([0.1506], dtype=torch.float64)
tensor([0.1461], dtype=torch.float64)
tensor([0.1417], dtype=torch.float64)
tensor([0.1375], dtype=torch.float64)
tensor([0.1334], dtype=torch.float64)
tensor([0.1294], dtype=torch.float64)
tensor([0.1255], dtype=torch.float64)
tensor([0.1218], dtype=torch.float64)
tensor([0.1181], dtype=torch.float64)
tensor([0.1146], dtype=torch.float64)
tensor([0.1112], dtype=torch.float64)
tensor([0.1079], dtype=torch.float64)
tensor([0.1047], dtype=torch.float64)
tensor([0.1016], dtype=torch.float64)
tensor([0.0986], dtype=torch.float64)
tensor([0.0957], dtype=torch.float64)
tensor([0.0928], dtype=torch.float64)
tensor([0.0901], dtype=torch.float64)
tensor([0.0874], dtype=torch.float64)
tensor([0.0848], dtype=torch.float64)
tensor([0.0823], dtype=torch.float64)
tensor([0.0799], dtype=torch.float64)
tensor([0.0776], dtype=torch.float64)
tensor([0.0753], dtype=torch.float64)
tensor([0.0731], dtype=torch.float64)
tensor([0.0709], dtype=torch.float64)
tensor([0.0689], dtype=torch.float64)
tensor([0.0668], dtype=torch.float64)
tensor([0.0649], dtype=torch.float64)
tensor([0.0630], dtype=torch.float64)
tensor([0.0612], dtype=torch.float64)
tensor([0.0594], dtype=torch.float64)
tensor([0.0577], dtype=torch.float64)
tensor([0.0560], dtype=torch.float64)
