lambda,error
0.0,1.133266401119899
0.04,1.133084626894504
0.08,1.132907670163566
0.12,1.132735529612052
0.16,1.1325682039252707
0.2,1.132405691788916
0.24,1.132247991889036
0.28,1.132095102912043
0.32,1.1319470235447238
0.36,1.1318037524742148
0.4,1.1316652883880192
0.44,1.131531629974017
0.48,1.1314027759204381
0.52,1.1312787249158756
0.56,1.1311594756492946
0.6,1.1310450268100223
0.64,1.1309353770877397
0.68,1.1308305251724957
0.72,1.1307304697547087
0.76,1.1306352095251602
0.8,1.1305447431749807
0.84,1.1304590693956786
0.88,1.130378186879108
0.92,1.1303020943175046
0.96,1.1302307904034545
1.0,1.1301642738299047
1.04,1.130102543290171
1.08,1.1300455974779329
1.12,1.1299934350872198
1.16,1.129946054812436
1.2,1.1299034553483391
1.24,1.1298656353900445
1.28,1.1298325936330533
1.32,1.1298043287731858
1.36,1.1297808395066677
1.4,1.1297621245300546
1.44,1.129748182540277
1.48,1.1297390122346216
1.52,1.1297346123107386
1.56,1.1297349814666346
1.6,1.1297401184006888
1.64,1.1297500218116117
1.68,1.12976469039852
1.72,1.1297841228608472
1.76,1.1298083178984057
1.8,1.129837274211369
1.84,1.1298709905002657
1.88,1.129909465465986
1.92,1.129952697809784
1.96,1.1300006862332634
