lambda,coeff_feature_1,coeff_feature_2,coeff_feature_3,coeff_feature_4,coeff_feature_5,coeff_feature_6,coeff_feature_7,coeff_feature_8,coeff_feature_9,coeff_feature_10,coeff_feature_11,coeff_feature_12
0.0,-12.1484451522205,-8.305846691834185,-16.00843805420234,-7.217058863432195,-4.596046810954958,-11.977997779439258,-16.556720797683557,15.462553308907495,2.875473441645769,12.174582415823473,5.452858849109525,-0.7037504512692802
0.04,-12.14782153909269,-8.305538723518143,-16.007799347074563,-7.216804431813722,-4.595953481813023,-11.977447827185177,-16.55598930353813,15.461801852609181,2.8753409673086754,12.173979879920985,5.4526045039472475,-0.7037444380262728
0.08,-12.147197989400343,-8.305230777051763,-16.00716069176677,-7.216550016629588,-4.595860151409777,-11.97689792657643,-16.55525787574112,15.461050469506553,2.8752085047778824,12.173377402954877,5.452350182829209,-0.7037384235106483
0.12,-12.146574503133849,-8.30492285243291,-16.006522088272554,-7.216295617878486,-4.595766819746646,-11.976348077605603,-16.55452651428328,15.460299159588894,2.875076054051874,12.172774984916575,5.452095885751951,-0.7037324077227763
0.16,-12.14595108028359,-8.304614949659431,-16.005883536585465,-7.216041235559093,-4.595673486825074,-11.975798280265291,-16.553795219155347,15.459547922845472,2.87494361512913,12.17217262579749,5.451841612712027,-0.7037263906630272
0.2,-12.145327720839965,-8.304307068729166,-16.0052450366991,-7.2157868696701035,-4.595580152646498,-11.975248534548067,-16.553063990348065,15.45879675926556,2.8748111880081266,12.171570325589059,5.451587363705976,-0.703720372331772
0.24,-12.144704424793353,-8.303999209639985,-16.00460658860704,-7.215532520210203,-4.595486817212357,-11.974698840446523,-16.55233282785219,15.458045668838455,2.8746787726873455,12.170968084282704,5.451333138730354,-0.7037143527293818
0.28,-12.144081192134156,-8.303691372389743,-16.00396819230285,-7.215278187178077,-4.595393480524081,-11.974149197953247,-16.551601731658497,15.457294651553426,2.874546369165269,12.170365901869861,5.451078937781704,-0.7037083318562259
0.32,-12.143458022852759,-8.303383556976291,-16.003329847780126,-7.215023870572413,-4.595300142583113,-11.973599607060828,-16.55087070175771,15.456543707399753,2.874413977440373,12.169763778341956,5.450824760856577,-0.7037023097126761
0.36,-12.142834916939567,-8.303075763397482,-16.00269155503245,-7.214769570391894,-4.595206803390879,-11.973050067761854,-16.550139738140594,15.45579283636673,2.8742815975111435,12.169161713690418,5.450570607951518,-0.7036962862991013
0.4,-12.142211874384978,-8.302767991651173,-16.002053314053388,-7.2145152866352085,-4.595113462948819,-11.972500580048926,-16.549408840797923,15.455042038443635,2.8741492293760578,12.168559707906695,5.450316479063085,-0.7036902616158713
0.44,-12.141588895179387,-8.302460241735226,-16.001415124836548,-7.214261019301047,-4.595020121258374,-11.97195114391464,-16.548678009720426,15.454291313619777,2.874016873033601,12.167957760982205,5.45006237418782,-0.7036842356633568
0.48,-12.140965979313199,-8.302152513647489,-16.000776987375506,-7.214006768388093,-4.594926778320968,-11.971401759351583,-16.547947244898893,15.453540661884421,2.8738845284822503,12.167355872908402,5.449808293322284,-0.7036782084419286
0.52,-12.140343126776827,-8.301844807385821,-16.000138901663846,-7.213752533895033,-4.594833434138037,-11.970852426352362,-16.54721654632408,15.452790083226883,2.8737521957204897,12.16675404367672,5.449554236463021,-0.7036721799519542
0.56,-12.139720337560655,-8.301537122948076,-15.999500867695158,-7.213498315820561,-4.594740088711017,-11.97030314490956,-16.546485913986736,15.45203957763645,2.873619874746803,12.166152273278596,5.4493002036065885,-0.7036661501938054
0.6,-12.139097611655108,-8.301229460332111,-15.998862885463033,-7.2132441141633485,-4.594646742041334,-11.969753915015794,-16.54575534787764,15.451289145102418,2.873487565559668,12.165550561705476,5.449046194749538,-0.7036601191678508
0.64,-12.1384749490506,-8.30092181953579,-15.998224954961065,-7.212989928922096,-4.594553394130427,-11.969204736663658,-16.545024847987555,15.450538785614096,2.8733552681575723,12.164948908948805,5.448792209888426,-0.7036540868744602
0.68,-12.137852349737527,-8.30061420055696,-15.997587076182823,-7.212735760095492,-4.594460044979725,-11.96865560984575,-16.544294414307274,15.449788499160784,2.8732229825389943,12.164347315000029,5.448538249019805,-0.7036480533140032
0.72,-12.137229813706316,-8.300306603393484,-15.996949249121917,-7.212481607682211,-4.594366694590658,-11.968106534554689,-16.54356404682754,15.44903828573178,2.8730907087024202,12.163745779850592,5.448284312140231,-0.7036420184868492
0.76,-12.13660734094738,-8.299999028043217,-15.996311473771954,-7.212227471680956,-4.594273342964654,-11.967557510783069,-16.54283374553914,15.44828814531639,2.8729584466463325,12.16314430349195,5.448030399246261,-0.7036359823933656
0.8,-12.135984931451128,-8.299691474504016,-15.995673750126508,-7.211973352090405,-4.594179990103149,-11.967008538523505,-16.542103510432845,15.447538077903932,2.872826196369213,12.16254288591555,5.447776510334457,-0.7036299450339238
0.84,-12.135362585207995,-8.29938394277374,-15.995036078179183,-7.21171924890924,-4.594086636007566,-11.966459617768596,-16.54137334149944,15.446788083483707,2.8726939578695463,12.161941527112845,5.447522645401366,-0.7036239064088916
0.88,-12.13474030220839,-8.299076432850255,-15.994398457923571,-7.211465162136163,-4.59399328067934,-11.96591074851096,-16.5406432387297,15.446038162045042,2.8725617311458205,12.161340227075293,5.447268804443551,-0.703617866518639
0.92,-12.134118082442741,-8.298768944731407,-15.993760889353267,-7.211211091769853,-4.5938999241198974,-11.965361930743207,-16.539913202114395,15.445288313577237,2.872429516196515,12.160738985794346,5.447014987457571,-0.7036118253635344
0.96,-12.133495925901473,-8.29846147841506,-15.993123372461877,-7.210957037808998,-4.593806566330663,-11.964813164457956,-16.539183231644323,15.444538538069615,2.872297313020115,12.160137803261456,5.446761194439989,-0.7036057829439444
1.0,-12.132873832575008,-8.298154033899069,-15.992485907242994,-7.210703000252282,-4.5937132073130655,-11.964264449647807,-16.538453327310258,15.443788835511496,2.872165121615106,12.159536679468093,5.446507425387362,-0.7035997392602416
1.04,-12.13225180245379,-8.297846611181303,-15.991848493690224,-7.210448979098408,-4.593619847068535,-11.963715786305393,-16.537723489102998,15.443039205892202,2.8720329419799735,12.158935614405715,5.446253680296251,-0.7035936943127915
1.08,-12.13162983552824,-8.297539210259615,-15.99121113179717,-7.210194974346042,-4.593526485598497,-11.963167174423319,-16.53699371701331,15.44228964920105,2.871900774113203,12.158334608065774,5.445999959163217,-0.7035876481019631
1.12,-12.131007931788792,-8.297231831131864,-15.990573821557433,-7.209940985993893,-4.5934331229043766,-11.962618613994211,-16.536264011032003,15.441540165427377,2.871768618013278,12.157733660439748,5.445746261984822,-0.703581600628125
1.16,-12.130386091225878,-8.296924473795915,-15.989936562964608,-7.209687014040632,-4.593339758987598,-11.962070105010689,-16.535534371149865,15.440790754560496,2.871636473678689,12.157132771519102,5.445492588757632,-0.7035755518916462
1.2,-12.129764313829941,-8.296617138249621,-15.98929935601232,-7.209433058484961,-4.59324639384959,-11.96152164746536,-16.53480479735768,15.44004141658975,2.8715043411079133,12.156531941295293,5.445238939478208,-0.7035695018928937
1.24,-12.129142599591418,-8.29630982449084,-15.988662200694149,-7.2091791193255546,-4.593153027491775,-11.960973241350874,-16.534075289646246,15.439292151504466,2.871372220299447,12.155931169759796,5.444985314143114,-0.7035634506322374
1.28,-12.12852094850075,-8.296002532517438,-15.98802509700374,-7.208925196561109,-4.593059659915578,-11.96042488665984,-16.53334584800637,15.438542959293972,2.8712401112517716,12.155330456904087,5.444731712748918,-0.7035573981100421
1.32,-12.127899360548373,-8.295695262327285,-15.987388044934658,-7.208671290190316,-4.592966291122421,-11.959876583384876,-16.532616472428835,15.43779383994762,2.871108013963373,12.154729802719633,5.444478135292182,-0.7035513443266784
1.36,-12.127277835724744,-8.295388013918226,-15.986751044480549,-7.208417400211859,-4.592872921113729,-11.95932833151863,-16.531887162904454,15.43704479345473,2.870975928432741,12.15412920719791,5.44422458176947,-0.7035452892825136
1.4,-12.1266563740203,-8.295080787288132,-15.986114095634996,-7.208163526624421,-4.592779549890922,-11.958780131053711,-16.531157919424018,15.436295819804645,2.8708438546583617,12.153528670330381,5.443971052177355,-0.7035392329779144
1.44,-12.12603497542549,-8.294773582434864,-15.985477198391626,-7.207909669426696,-4.59268617745543,-11.958231981982763,-16.53042874197834,15.435546918986711,2.8707117926387227,12.152928192108545,5.443717546512404,-0.703533175413249
1.48,-12.125413639930773,-8.294466399356278,-15.984840352744053,-7.20765582861738,-4.592592803808661,-11.957683884298419,-16.52969963055822,15.434798090990276,2.8705797423723123,12.152327772523867,5.44346406477118,-0.7035271165888842
1.52,-12.124792367526593,-8.294159238050238,-15.984203558685886,-7.207402004195152,-4.592499428952053,-11.957135837993297,-16.52897058515446,15.434049335804687,2.870447703857617,12.15172741156784,5.443210606950256,-0.7035210565051881
1.56,-12.124171158203408,-8.29385209851461,-15.98356681621073,-7.2071481961587,-4.592406052887013,-11.956587843060044,-16.52824160575788,15.433300653419288,2.870315677093126,12.151127109231927,5.442957173046202,-0.7035149951625275
1.6,-12.123550011951671,-8.29354498074725,-15.98293012531223,-7.2068944045067145,-4.592312675614968,-11.956039899491289,-16.527512692359277,15.432552043823417,2.8701836620773262,12.150526865507622,5.442703763055586,-0.7035089325612708
1.64,-12.122928928761844,-8.293237884746027,-15.982293485983952,-7.206640629237888,-4.5922192971373335,-11.95549200727968,-16.52678384494947,15.43180350700645,2.8700516588087095,12.149926680386423,5.442450376974977,-0.7035028687017837
1.68,-12.12230790862438,-8.292930810508807,-15.981656898219576,-7.2063868703509115,-4.592125917455533,-11.954944166417853,-16.52605506351928,15.431055042957734,2.869919667285764,12.149326553859797,5.4421970148009535,-0.7034968035844349
1.72,-12.121686951529746,-8.292623758033436,-15.98102036201269,-7.2061331278444625,-4.592032536570986,-11.95439637689844,-16.525326348059522,15.430306651666623,2.869787687506978,12.14872648591924,5.441943676530082,-0.7034907372095887
1.76,-12.121066057468402,-8.292316727317797,-15.9803838773569,-7.205879401717236,-4.591939154485106,-11.953848638714089,-16.524597698560996,15.429558333122465,2.869655719470842,12.148126476556246,5.441690362158935,-0.7034846695776128
1.8,-12.12044522643083,-8.292009718359743,-15.979747444245854,-7.205625691967926,-4.5918457711993135,-11.95330095185744,-16.523869115014538,15.428810087314638,2.8695237631758435,12.147526525762302,5.441437071684089,-0.703478600688875
1.84,-12.119824458407475,-8.291702731157146,-15.979111062673152,-7.205371998595214,-4.591752386715027,-11.952753316321143,-16.523140597410958,15.428061914232496,2.869391818620476,12.146926633528903,5.441183805102116,-0.7034725305437415
1.88,-12.11920375338882,-8.291395765707865,-15.97847473263243,-7.205118321597794,-4.591659001033664,-11.952205732097841,-16.522412145741093,15.42731381386541,2.869259885803225,12.14632679984755,5.440930562409594,-0.7034664591425788
1.92,-12.118583111365336,-8.291088822009762,-15.97783845411732,-7.204864660974355,-4.591565614156638,-11.951658199180184,-16.521683759995756,15.426565786202747,2.869127964722585,12.145727024709739,5.4406773436030935,-0.7034603864857525
1.96,-12.117962532327487,-8.290781900060699,-15.977202227121431,-7.204611016723584,-4.591472226085368,-11.951110717560814,-16.52095544016578,15.425817831233864,2.8689960553770475,12.145127308106954,5.440424148679199,-0.70345431257363
