lambda,error
0.0,0.9550388876867517
0.04,0.9548578415022411
0.08,0.954682984454903
0.12,0.9545143146069955
0.16,0.9543518300213946
0.2,0.9541955287615753
0.24,0.9540454088916286
0.28,0.9539014684762552
0.32,0.9537637055807656
0.36,0.9536321182710851
0.4,0.953506704613744
0.44,0.9533874626758888
0.48,0.9532743905252667
0.52,0.9531674862302469
0.56,0.95306674785979
0.6,0.9529721734834873
0.64,0.9528837611715113
0.68,0.9528015089946686
0.72,0.9527254150243625
0.76,0.9526554773326111
0.8,0.9525916939920301
0.84,0.9525340630758535
0.88,0.9524825826579106
0.92,0.952437250812652
0.96,0.9523980656151264
1.0,0.9523650251409927
1.04,0.9523381274665056
1.08,0.9523173706685519
1.12,0.9523027528245979
1.16,0.9522942720127324
1.2,0.9522919263116322
1.24,0.9522957138006126
1.28,0.9523056325595545
1.32,0.9523216806689656
1.36,0.9523438562099635
1.4,0.9523721572642615
1.44,0.9524065819141728
1.48,0.9524471282426237
1.52,0.9524937943331381
1.56,0.9525465782698578
1.6,0.9526054781375041
1.64,0.9526704920214272
1.68,0.95274161800756
1.72,0.9528188541824483
1.76,0.9529021986332415
1.8,0.9529916494476904
1.84,0.9530872047141443
1.88,0.9531888625215629
1.92,0.9532966209594977
1.96,0.9534104781181076
