lambda,coeff_feature_1,coeff_feature_2,coeff_feature_3,coeff_feature_4,coeff_feature_5,coeff_feature_6,coeff_feature_7,coeff_feature_8,coeff_feature_9,coeff_feature_10
0.0,19.284290674718125,-11.591029193092975,-3.8798500199172605,4.029418352037094,-8.7026970924578,-10.646313781499902,-0.9770856799511429,-6.95052735618199,-22.343957268791833,-1.6745018774406204
0.04,19.283333188075925,-11.590441987296071,-3.8796732386580675,4.029303932148667,-8.702257777179613,-10.64572202531996,-0.9770716653439628,-6.95008791266393,-22.342794486537414,-1.674341028098208
0.08,19.282375796271666,-11.589854841328517,-3.8794964732585484,4.029189515864428,-8.701818507420942,-10.645130334802205,-0.9770576480683488,-6.949648522555429,-22.341631826891984,-1.6741802017661112
0.12,19.281418499291302,-11.589267755181151,-3.8793197237166295,4.029075103184908,-8.701379283174562,-10.644538709935702,-0.9770436281254221,-6.949209185846977,-22.34046928983591,-1.6740193984399359
0.16,19.28046129712081,-11.588680728844757,-3.8791429900302314,4.028960694110639,-8.700940104433236,-10.643947150709543,-0.9770296055162987,-6.948769902529056,-22.33930687534958,-1.673858618115291
0.2,19.279504189746138,-11.588093762310164,-3.878966272197283,4.028846288642155,-8.700500971189742,-10.643355657112805,-0.9770155802421006,-6.948330672592166,-22.338144583413396,-1.673697860787782
0.24,19.278547177153257,-11.58750685556819,-3.8787895702157082,4.0287318867799895,-8.700061883436856,-10.642764229134585,-0.9770015523039426,-6.9478914960267915,-22.336982414007757,-1.6735371264530206
0.28,19.277590259328143,-11.586920008609638,-3.8786128840834344,4.028617488524672,-8.699622841167347,-10.642172866763968,-0.9769875217029449,-6.9474523728234345,-22.335820367113072,-1.6733764151066153
0.32,19.27663343625675,-11.586333221425338,-3.8784362137983885,4.028503093876734,-8.699183844374001,-10.641581569990045,-0.9769734884402239,-6.947013302972591,-22.33465844270973,-1.6732157267441785
0.36,19.275676707925065,-11.585746494006116,-3.878259559358497,4.028388702836715,-8.698744893049577,-10.640990338801927,-0.9769594525168965,-6.946574286464755,-22.333496640778172,-1.6730550613613238
0.4,19.274720074319063,-11.585159826342775,-3.878082920761687,4.028274315405137,-8.698305987186876,-10.640399173188692,-0.9769454139340777,-6.9461353232904415,-22.3323349612988,-1.6728944189536636
0.44,19.273763535424727,-11.584573218426158,-3.877906298005886,4.028159931582537,-8.697867126778664,-10.639808073139452,-0.9769313726928855,-6.945696413440141,-22.331173404252024,-1.6727337995168126
0.48,19.272807091228035,-11.583986670247088,-3.8777296910890198,4.028045551369441,-8.697428311817735,-10.639217038643299,-0.9769173287944348,-6.945257556904375,-22.330011969618283,-1.672573203046386
0.52,19.271850741714992,-11.583400181796389,-3.877553100009024,4.027931174766385,-8.696989542296865,-10.638626069689352,-0.9769032822398401,-6.944818753673639,-22.328850657378,-1.6724126295380009
0.56,19.270894486871562,-11.582813753064894,-3.8773765247638194,4.027816801773894,-8.69655081820886,-10.638035166266711,-0.9768892330302166,-6.944380003738455,-22.32768946751161,-1.6722520789872752
0.6,19.26993832668375,-11.58222738404343,-3.8771999653513394,4.0277024323925,-8.696112139546475,-10.637444328364484,-0.976875181166682,-6.943941307089322,-22.326528399999532,-1.6720915513898258
0.64,19.268982261137538,-11.581641074722839,-3.87702342176951,4.027588066622731,-8.695673506302526,-10.636853555971788,-0.9768611266503453,-6.943502663716774,-22.325367454822246,-1.6719310467412765
0.68,19.268026290218927,-11.581054825093958,-3.8768468940162633,4.02747370446512,-8.695234918469787,-10.636262849077735,-0.9768470694823224,-6.94306407361132,-22.32420663196017,-1.6717705650372436
0.72,19.26707041391392,-11.580468635147618,-3.876670382089531,4.0273593459201855,-8.694796376041058,-10.635672207671446,-0.9768330096637282,-6.942625536763478,-22.323045931393764,-1.671610106273353
0.76,19.26611463220852,-11.57988250487466,-3.876493885987241,4.027244990988475,-8.694357879009136,-10.635081631742029,-0.9768189471956732,-6.942187053163766,-22.321885353103468,-1.6714496704452255
0.8,19.265158945088736,-11.579296434265935,-3.8763174057073226,4.027130639670497,-8.693919427366811,-10.634491121278622,-0.9768048820792706,-6.941748622802722,-22.32072489706977,-1.6712892575484857
0.84,19.26420335254057,-11.578710423312273,-3.8761409412477095,4.027016291966791,-8.693481021106882,-10.63390067627034,-0.9767908143156337,-6.941310245670863,-22.319564563273097,-1.6711288675787581
0.88,19.263247854550023,-11.578124472004534,-3.8759644926063324,4.02690194787788,-8.693042660222146,-10.633310296706306,-0.9767767439058735,-6.940871921758722,-22.318404351693943,-1.6709685005316688
0.92,19.26229245110313,-11.577538580333549,-3.875788059781125,4.026787607404295,-8.692604344705405,-10.632719982575663,-0.9767626708511005,-6.9404336510568285,-22.317244262312762,-1.6708081564028463
0.96,19.26133714218589,-11.576952748290172,-3.875611642770015,4.026673270546556,-8.692166074549457,-10.632129733867526,-0.9767485951524285,-6.939995433555713,-22.316084295110038,-1.6706478351879153
